tract,year,New open,count,is_cbd,post_covid,DID,open_ln,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,pop,density,post covid * density,density_rank,density_group
401.0,2020,2,14.0,1,1,1,0.6931471805599453,401.0,2577.0,2020.0,000401,2513118.53678,401.0,2.577,1.025419200202888,1.025419200202888,0.18754774637127578,low_density
401.0,2021,2,14.0,1,1,1,0.6931471805599453,401.0,2516.0,2021.0,000401,2513118.53678,401.0,2.516,1.001146568766188,1.001146568766188,0.20339954163483576,low_density
403.0,2013,6,152.0,1,0,0,1.791759469228055,,,,,,,,,,,low_density
403.0,2014,7,152.0,1,0,0,1.9459101490553132,,,,,,,,,,,low_density
403.0,2015,18,152.0,1,0,0,2.8903717578961645,,,,,,,,,,,low_density
403.0,2016,10,152.0,1,0,0,2.302585092994046,,,,,,,,,,,low_density
403.0,2017,7,152.0,1,0,0,1.9459101490553132,,,,,,,,,,,low_density
403.0,2018,119,152.0,1,0,0,4.77912349311153,,,,,,,,,,,low_density
403.0,2019,119,152.0,1,1,1,4.77912349311153,,,,,,,,,,,low_density
403.0,2020,14,152.0,1,1,1,2.6390573296152584,403.0,775.0,2020.0,,,,0.775,,,,low_density
403.0,2021,7,152.0,1,1,1,1.9459101490553132,,,,,,,,,,,low_density
404.0,2013,4,52.0,1,0,0,1.3862943611198906,,,,,,,,,,,low_density
404.0,2014,5,52.0,1,0,0,1.6094379124341003,,,,,,,,,,,low_density
404.0,2015,10,52.0,1,0,0,2.302585092994046,,,,,,,,,,,low_density
404.0,2016,12,52.0,1,0,0,2.4849066497880004,,,,,,,,,,,low_density
404.0,2017,14,52.0,1,0,0,2.6390573296152584,,,,,,,,,,,low_density
404.0,2018,20,52.0,1,0,0,2.995732273553991,,,,,,,,,,,low_density
404.0,2019,16,52.0,1,1,1,2.772588722239781,,,,,,,,,,,low_density
404.0,2020,18,52.0,1,1,1,2.8903717578961645,404.0,3383.0,2020.0,,,,3.383,,,,low_density
404.0,2021,3,52.0,1,1,1,1.0986122886681098,,,,,,,,,,,low_density
500.0,2013,24,133.0,1,0,0,3.1780538303479458,500.0,2267.0,2013.0,000500,4615443.89842,500.0,2.267,0.491177024332602,0.0,0.7226890756302521,mid_density
